# Byte	Result	Warning   # vim:ts=14
00	Unsupported	
01	Unsupported	troff: <standard input>:1: a leader character is not allowed in a name
02	Supported	
03	Supported	
04	Supported	
05	Supported	
06	Supported	
07	Supported	
08	Unsupported	troff: <standard input>:1: a backspace character is not allowed in a name
09	Unsupported	
0A	Unsupported	
0B	Unsupported	
0C	Supported	
0D	Unsupported	
0E	Unsupported	
0F	Unsupported	
10	Unsupported	
11	Unsupported	
12	Unsupported	
13	Unsupported	
14	Unsupported	
15	Unsupported	
16	Unsupported	
17	Unsupported	
18	Unsupported	
19	Unsupported	
1A	Unsupported	
1B	Unsupported	
1C	Unsupported	
1D	Unsupported	
1E	Unsupported	
1F	Unsupported	
20	Unsupported	
21	Supported	
22	Supported	
23	Supported	
24	Supported	
25	Supported	
26	Supported	
27	Supported	
28	Supported	
29	Supported	
2A	Supported	
2B	Supported	
2C	Supported	
2D	Supported	
2E	Supported	
2F	Supported	
30	Supported	
31	Supported	
32	Supported	
33	Supported	
34	Supported	
35	Supported	
36	Supported	
37	Supported	
38	Supported	
39	Supported	
3A	Supported	
3B	Supported	
3C	Supported	
3D	Supported	
3E	Supported	
3F	Supported	
40	Supported	
41	Supported	
42	Supported	
43	Supported	
44	Supported	
45	Supported	
46	Supported	
47	Supported	
48	Supported	
49	Supported	
4A	Supported	
4B	Supported	
4C	Supported	
4D	Supported	
4E	Supported	
4F	Supported	
50	Supported	
51	Supported	
52	Supported	
53	Supported	
54	Supported	
55	Supported	
56	Supported	
57	Supported	
58	Supported	
59	Supported	
5A	Supported	
5B	Supported	
5C	Unsupported	<standard input>:2: error: end of file while defining macro 'XS'
5D	Supported	
5E	Supported	
5F	Supported	
60	Supported	
61	Supported	
62	Supported	
63	Supported	
64	Supported	
65	Supported	
66	Supported	
67	Supported	
68	Supported	
69	Supported	
6A	Supported	
6B	Supported	
6C	Supported	
6D	Supported	
6E	Supported	
6F	Supported	
70	Supported	
71	Supported	
72	Supported	
73	Supported	
74	Supported	
75	Supported	
76	Supported	
77	Supported	
78	Supported	
79	Supported	
7A	Supported	
7B	Supported	
7C	Supported	
7D	Supported	
7E	Supported	
7F	Supported	
80	Unsupported	
81	Unsupported	
82	Unsupported	
83	Unsupported	
84	Unsupported	
85	Unsupported	
86	Unsupported	
87	Unsupported	
88	Unsupported	
89	Unsupported	
8A	Unsupported	
8B	Unsupported	
8C	Unsupported	
8D	Unsupported	
8E	Unsupported	
8F	Unsupported	
90	Unsupported	
91	Unsupported	
92	Unsupported	
93	Unsupported	
94	Unsupported	
95	Unsupported	
96	Unsupported	
97	Unsupported	
98	Unsupported	
99	Unsupported	
9A	Unsupported	
9B	Unsupported	
9C	Unsupported	
9D	Unsupported	
9E	Unsupported	
9F	Unsupported	
A0	Supported	
A1	Supported	
A2	Supported	
A3	Supported	
A4	Supported	
A5	Supported	
A6	Supported	
A7	Supported	
A8	Supported	
A9	Supported	
AA	Supported	
AB	Supported	
AC	Supported	
AD	Supported	
AE	Supported	
AF	Supported	
B0	Supported	
B1	Supported	
B2	Supported	
B3	Supported	
B4	Supported	
B5	Supported	
B6	Supported	
B7	Supported	
B8	Supported	
B9	Supported	
BA	Supported	
BB	Supported	
BC	Supported	
BD	Supported	
BE	Supported	
BF	Supported	
C0	Supported	
C1	Supported	
C2	Supported	
C3	Supported	
C4	Supported	
C5	Supported	
C6	Supported	
C7	Supported	
C8	Supported	
C9	Supported	
CA	Supported	
CB	Supported	
CC	Supported	
CD	Supported	
CE	Supported	
CF	Supported	
D0	Supported	
D1	Supported	
D2	Supported	
D3	Supported	
D4	Supported	
D5	Supported	
D6	Supported	
D7	Supported	
D8	Supported	
D9	Supported	
DA	Supported	
DB	Supported	
DC	Supported	
DD	Supported	
DE	Supported	
DF	Supported	
E0	Supported	
E1	Supported	
E2	Supported	
E3	Supported	
E4	Supported	
E5	Supported	
E6	Supported	
E7	Supported	
E8	Supported	
E9	Supported	
EA	Supported	
EB	Supported	
EC	Supported	
ED	Supported	
EE	Supported	
EF	Supported	
F0	Supported	
F1	Supported	
F2	Supported	
F3	Supported	
F4	Supported	
F5	Supported	
F6	Supported	
F7	Supported	
F8	Supported	
F9	Supported	
FA	Supported	
FB	Supported	
FC	Supported	
FD	Supported	
FE	Supported	
FF	Supported	
